Atoms,Total_IPR,Asymmetric_IPR,Percent_Asymmetric
60,1,0,0.0
62,0,0,0
64,0,0,0
66,0,0,0
68,0,0,0
70,1,0,0.0
72,1,0,0.0
74,1,0,0.0
76,2,0,0.0
78,5,0,0.0
80,7,0,0.0
82,9,0,0.0
84,24,1,4.1667
86,19,6,31.5789
88,35,11,31.4286
90,46,16,34.7826
92,86,38,44.186
94,134,89,66.4179
96,187,108,57.754
98,259,169,65.251
100,450,336,74.6667
102,616,488,79.2208
104,823,644,78.2503
106,1233,1054,85.4826
108,1799,1479,82.2123
110,2355,2111,89.6391
112,3342,2950,88.2705
114,4468,4089,91.5175
116,6063,5508,90.8461
118,8148,7670,94.1335
120,10774,9904,91.925
122,13977,13295,95.1206
124,18769,17751,94.5762
126,23589,22686,96.1719
128,30683,29275,95.4111
130,39393,38285,97.1873
132,49878,48013,96.2609
134,62372,60767,97.4267
136,79362,77072,97.1145
138,98541,96598,98.0282
140,121354,118321,97.5007
142,151201,148844,98.4411
144,186611,182804,97.9599
146,225245,222281,98.6841
148,277930,273339,98.3481
150,335569,331710,98.85
152,404667,398804,98.5512
154,489646,485184,99.0887
156,586264,579044,98.7685
158,697720,692268,99.2186
160,836497,828028,98.9876
162,989495,982795,99.3229
164,1170157,1159784,99.1135
166,1382953,1375066,99.4297
168,1628029,1615320,99.2194
170,1902265,1893005,99.5132
172,2234133,2219523,99.3461
