n_c,fullerene_g6,dual_g6,depth_fullerene,depth_dual
112,~?@osP@@?OC?O`?@@@_?O?A@?W??_??_??O??C???_??A???C???C???A????_???K????_???@?G??B????@?????O@???E?????W?????_?????_@????o?????K?????@??????C?C????G??????G??????C??????@???????G???????_??????@???????@?@??????_???????G???????@????????C????????K????????K????????E????????@_????????G?????????_?_??????B?????????B??????????_?????????G?G???????B??????????K??????????W??????????O??????????G?C????????A???????????O??????????@???????????A???????????A???????????@????????????O?G?????????A?@??????????G????????????O????????????O????????????G????????????A?????????????W????????????@_????????????B?????????????B?????????????@??????????????O?G???????????E??????????????E??????????????K??????????????K??????????????E??????????????@_??????????????K???????????????O???????????????_???????????????_@??????????????O???????????????C????????????????o@??????????????@?G??????????????A????????????????A????????????????@?C???????????????W????????????????B?????????????????E?????????????????H_????????????????@_?????????????????W?????????????????AG?????????????????T,y|eMID@WH?e@C@E?`?GW@@?CF?GA?GB?C?_@?M?G?O?_@_@?@_@??o?_?K?G?@_@??E?C??G?G??[?G??C?C??B?@???W?G??@o?_??@?@???B?@???@_?_???W?G???B?@????K?C????W?G????W?G????G?C????F?@?????O?G????B_?_????B_@?????@?F?????@_?_?????W?G?????B?@??????M?C??????K?G??????M?G??????ABC??????@r@????????No,4,5
112,~?@osP@@?OC?O`?@?@_?O?A??W??_??_??O??C@?@_??C???G???G@??K???A????O@??@????E????C????A?C???_????C?????O????@_?????_?????O?????C??????o?????A??????C??????C?G????A???????_@?????K???????o??????@???????@?@??????_?_?????W???????B????????G????????O?G??????O????????W????????A?????????O?G??????@?????????A?????????A?????????@??????????G?????????@?@????????C??????????G??????????K??????????C??????????@???????????G?G?????????_??????????@?@?????????B???????????@_???????????W???????????B????????????E????????????K????????????G????????????C?C??????????@?????????????W?????????????o?????????????_?????????????_?????????????O?????????????C??????????????_@????????????A?C????????????C??????????????C??????????????B???????????????_??????????????C?G?????????????O?_?????????????_@?????????????@_???????????????o???????????????K????????????????W???????????????@_???????????????B????????????????@?????????????????GC???????????????A?????????????????OG???????????????@_????????????????@?????????????????@_?????????????????W?????????????????B_?????????????????M,y|eMID@WH?e@C@E?`?GW@@_CB?GA?GB?C?o@?E?G?W?_?o@??_@??w?_?C?G?@_@??E?C??K?G??K?G??E?C??@_@???K?G???o?_??@_@???@_@????_?_???[?G???@_@????E?C????K?G????K?G????E?C????@o@?????E?G?????W?_?????o@??????o@??????[?_?????B?G??????W@??????@_C??????BoG???????oW???????[C???????B`????????Mw,4,5
112,~?@osP@@?OC?O`?@?@_?O?A??W??_??_??O??C??@_??C???G???G@??K???A????O???@????E????C????A?C??@_????G?????_?_??@?????B??????_?????G?????@??????K??????W??????O??????G?C????A???????O??????@???????A???????B???????@????????O?G?????A?@??????W????????o????????_????????O????????C?@???????_????????B?????????E?????????E?????????B??????????_?????????C?@????????O??????????O??????????O?G????????G??????????A???????????o??????????@_??????????A???????????A?@?????????@????????????O???????????A????????????G????????????W????????????W????????????E????????????@_????????????G?????????????_????????????@?@???????????@?@????????????o?????????????K?????????????@_?????????????E??????????????G??????????????G?G????????????C?C????????????@?@?????????????G???????????????_??????????????B????????????????_???????????????O?_?????????????C????????????????_???????????????A?C??????????????C????????????????@_G???????????????o????????????????G????????????????@_G???????????????B?????????????????E?????????????????B??????????????????O_????????????????D??????????????????J,y|eMID@WH?e@C@E?`?GW@@?CE?GE?GA?C@_@?K?G?o?_@?@?B?@?@_?_?W?G?B?@??K?C??W?G??O?G??[?C??B?@???W?G??@_?_??B?@???B?@???@??_???w?G???B?@????K?C????W?G????W?G????K?C????A?@?????w?G????@_?_????B_@?????@_@??????o?_?????G?G?????Bo@??????B?K??????E?G??????F?G??????@EC???????}@????????Zo,4,4
112,~?@osP@@?OC?O`?@?@_?O?A??W??_??_??O??C??@_??C???G???G???K???A????O???@?C??E????E????B?????_????C?G???O????@_????@_?????_?????G?G???@??????K??????G??????G??????C??????@???????G???????o??????@???????@?@??????_???????G???????@_???????C????????G?G??????G?G??????K????????B?????????W????????@_????????A?????????A?@???????@??????????W?????????B??????????G??????????O?G????????O??????????C??????????@???????????G???????????_??????????@???????????@????????????o???????????G???????????@?@??????????C?C??????????G????????????K????????????E????????????@_????????????K?????????????o????????????@_????????????@_?????????????_?????????????G?G???????????@?@????????????B??????????????C??????????????C?G????????????A???????????????_??????????????C?G?????????????O???????????????_???????????????_@??????????????O???????????????B????????????????G????????????????o???????????????@_????????????????o????????????????W????????????????B?????????????????[?????????????????_????????????????@@????????????????@@?????????????????__????????????????GG????????????????@P,y|eMID@WH?e@C@E?`_GG@@_CB?GA?GB?C?_@?K?G?o?_@?@?B_@??_?_?W?G?B?@??K?C??O?G??w?G??K?C??B?@???W?G??@??_??F?@???B?@???@o?_???G?G???B?@????K?C????W?G????W?G????G?C????F?@?????W?G????@o?_????@?@?????B_@??????w?_?????C?G?????@o@??????B?C??????F?G??????AGG??????BwC???????Fa????????Ng,4,5
112,~?@osP@@?OC?O`?@?@_?O?A??W??_??_??O??C??@_??C???G???G@??K???A????O???@?C??E????E????B?????_????C?G???O????@_?????_?????O?????C?????@_?????A??????C??????C??????A???????_??????E???????O???????_???????_@??????o???????K???????@????????C????????G?G??????W????????K????????B?????????W????????@?????????A?@???????A?@???????B??????????O?????????A?@????????G??????????O??????????o??????????G??????????A???????????O??????????@???????????A???????????A????????????_???????????G???????????@?@??????????E????????????K????????????G????????????E????????????@_????????????K?????????????o????????????@_????????????@_?????????????o?????????????K??????????????_?????????????A?C????????????C??????????????C??????????????E???????????????_??????????????C?G?????????????O???????????????_???????????????_???????????????O?_?????????????E????????????????W???????????????@_???????????????A????????????????B?G???????????????o????????????????K????????????????@_????????????????B?????????????????A@????????????????A?????????????????@O?????????????????CW?????????????????k,y|eMID@WH?e@C@E?`_GG@@_CB?GA?GB?C?o@?E?G?O?_@o@??_@??o?_?K?G?@_@??C?C??[?G??K?G??C?C??B?@???W?G??@_?_??B?@???A?@???B_?_???O?W???E?@????W?C????o?G????o?G????O?C????N?@?????O?W????B??_????F?@?????B?@?????@_?_?????S?G?????@o@??????B?C??????E?G??????E_G???????{C???????BF????????^G,4,5
112,~?@osP@@?OC?O`?@?@_?O?A??W??_??_??O??C@?@_??C???G???G@??K???A????O???@?C??E????C????A?C???_????C?????O?_??@_?????_?????O?????C?????@_?????A??????C??????C??????A???????_@?????K???????O???????_???????_@??????o???????K???????@????????C????????G?G??????W????????K????????A?????????O?G??????@?????????A?@???????A?@???????B??????????O?????????A?@????????G??????????O??????????o??????????G??????????A???????????O??????????@???????????A???????????A?@??????????_???????????G???????????@?@??????????E????????????K????????????G????????????E????????????@_????????????K?????????????o????????????@?????????????@?@????????????o?????????????K??????????????_?????????????A?C????????????C??????????????C??????????????E???????????????_??????????????C?G?????????????O???????????????_???????????????_???????????????O?_?????????????E????????????????W???????????????@_???????????????A????????????????B?G???????????????o????????????????K????????????????@_????????????????B?????????????????A@????????????????A?????????????????@O?????????????????CW?????????????????k,y|eMID@WH?e@C@E?`?GW@@_CB?GA?GB?C?o@?E?G?O?_@o@??_@??o?_?K?G?@?@??K?C??W?G??[?G??C?C??B?@???W?G??@_?_??B?@???A?@???B_?_???O?W???E?@????W?C????o?G????_?G????o?C????N?@?????O?W????B??_????F?@?????B?@?????@_?_?????S?G?????@o@??????B?C??????E?G??????E_G???????{C???????BF????????^G,4,4
112,~?@osP@@?PC?O`?@@@_?O?A??G??O??O??G??A???O??@???E???C???A?_?@_???K????o???@????@?G??@_????W????A?????G?????O?????O?????G?????A??????O?????@??????A??????A??????@???????O@?????E???????W???????_???????_@??????o???????K???????@_???????E????????G????????G?G??????K????????B?????????G?????????_????????@?????????@??????????_?????????G?????????@??????????C??????????G??????????G??????????C??????????@???????????G?G?????????_?_????????B???????????B???????????@_???????????W???????????B????????????K????????????W????????????W????????????K????????????A?????????????O?G??????????B?????????????@?????????????@?@????????????_?????????????G?????????????@??????????????C??????????????G?G????????????G??????????????C??????????????@?@?????????????G???????????????_??????????????@_@??????????????o???????????????W???????????????E????????????????o???????????????@_???????????????B????????????????@_????????????????_????????????????I@????????????????OO???????????????@?????????????????A@????????????????A@????????????????@?_????????????????OG?????????????????p,y|eMID@WH_a@E@B?__GM@?OC@_G@?G@_C?W@?B?G?G?_?o@??o@??W?_?C?G?@o@??A?C??K?G??K?G??E?C??@_@???K?G???o?_??@?@???B?@???@_?_???W?G???B?@????G?C????w?G????O?G????[?C????B?@?????W?G????@_?_????B_@?????@?@?????@o?_?????K?G?????@o@??????A?C??????M?G??????F_G???????o[???????MH????????}G,4,5
112,~?@osP@@?OC?O`?@?@_?O?A??W??_??_??O??C@?@_??C???G@??G???K???A????O???@????E????C????A?C???_????C?????O?????o?????_?????O?????C?G???@_?????E??????G??????G??????C??????@???????G?G????@_??????B???????A???????@??_?????O?G?????E????????G????????O????????O????????G?C??????E?????????o????????A?????????C?@???????C?????????A??????????_?G???????C??????????G??????????O??????????O?G????????W??????????E???????????O??????????@???????????A?@?????????A???????????@????????????O?G?????????E????????????K????????????W????????????W????????????C????????????@?????????????G?????????????_?_??????????B?????????????@_?????????????_?????????????G?G???????????@??????????????C??????????????G?G????????????G??????????????E??????????????@_??????????????K???????????????O???????????????_@??????????????_@??????????????O?_?????????????E????????????????o???????????????@_???????????????B????????????????@?????????????????_????????????????G@????????????????OG???????????????@?_???????????????A?????????????????A@????????????????@__????????????????W??????????????????X,y|eMID@WH?e@C@E?`?GW@@_CB?GB?G@?C?o@?E?G?O?_@_@?@_@??_?_?W?G?B?@??G?C??o?G??o?G??W?C??E?@???o?G??B??_??F?@???A?@???B??_???w?G???A?@????[?C????W?G????O?G????W?C????E?@?????w?G????@_?_????B?@?????B_@??????_@_?????W?G?????B_@??????F_C??????A?w??????F?G??????@oC???????L@????????Xw,4,5
112,~?@osP@@?OC?O`?@@@_?O?A@?W??_??_??O??C???_??A???C???C???A????_???K????_???@?G??B????@?????O@???E?????W?????_?????_@????o?????K?????@??????C??????G??????G??????C??????@???????G???????_??????@???????@?@??????_???????G???????@????????C?C??????W????????W????????G????????A?@???????o????????B?????????C?????????C?@???????E?????????@_?????????C??????????O?C???????@_?????????@_??????????O??????????C???????????_?G????????A???????????C???????????C???????????A??_?????????_???????????C????????????O????????????_?G??????????_?G??????????O????????????C?????????????_????????????A??_??????????K?????????????E?????????????A??????????????_?G???????????K??????????????W??????????????o??????????????o??????????????E??????????????@_??????????????K???????????????O???????????????_@??????????????_@??????????????O?_?????????????C????????????????_@??????????????A?C??????????????C????????????????E????????????????@?????????????????O????????????????A?G???????????????A?_???????????????C@????????????????B?????????????????@o?????????????????K??????????????????L,y|eMID@WH?e@C@E?`?GW@@?CF?GA?GB?C?_@?M?G?O?_@_@?@_@??_?_?W?G?B?@??G?C??o?G??o?G??O?C??M?@???_?G??E??_??K?@???M?@???A??_??@_?G???M?@????O?C???@o?G????o?G????O?C????K?@????@o?G????A??_????M?@?????C?B?????F??_?????w?G?????A?F??????W?C??????w?G??????]?G??????A?[??????@w@???????AeW,4,5
112,~?@osP@@?OC?O`?@@@_?O?A@?W??_??_??O??C???_??A???C???C???A????_???K????_???@?G??B????@?????O@???E?????W?????_?????_@????o?????K?????@??????C??????G??????G??????C?C????@???????G???????_??????@???????@?@??????_???????G???????@????????C?C??????W????????W????????G????????A?@???????W????????@?????????A?@???????E?????????B??????????O?????????A?@????????W??????????o??????????O??????????G??????????A?@?????????O??????????@???????????A?@?????????A???????????@????????????O?G?????????A????????????G?C??????????O????????????O????????????G????????????A?@???????????o????????????@_????????????A?????????????A?@???????????@_?????????????O?????????????A?@????????????K??????????????K??????????????K??????????????E???????????????_??????????????C?G?????????????O?_?????????????_@??????????????_???????????????O?_?????????????C?G??????????????_???????????????A?C??????????????C?G??????????????C????????????????A?????????????????_@???????????????@?G???????????????C?_???????????????C?????????????????C@????????????????@__????????????????W??????????????????X,y|eMID@WH?e@C@E?`?GW@@?CF?GA?GB?C?_@?M?G?O?_@_@?@_@??_?_?W?G?B?@??G?C??w?G??O?G??[?C??A?@???o?G??B??_??F?@???A?@???B??_???w?G???A?@????[?C????W?G????O?G????[?C????A?@?????w?G????@_?_????B?@?????B_@??????_@_?????W?G?????B_@??????F_C??????A?w??????F?G??????@oC???????L@????????Xw,4,5
