n_c,fullerene_g6,dual_g6,depth_fullerene,depth_dual
118,~?@usP@@?PC?O`?@@@_?O?A??G??O??O??G??A???O??@???E???C???A?_?@_???G????_C??B????A????@?C???o????E?????O?????_?????_?????O?????C??????_@????A??????C??????C??????A???????_??????C???????O?_????@_??????@_???????_???????G?G?????B????????C????????G?G??????W????????K????????A?????????O?G??????B?????????E?????????A?????????@??????????O?????????A??????????G??????????O?G????????O?G????????G??????????A???????????O??????????@???????????A???????????A???????????@??_?????????O?G?????????E????????????W????????????o????????????_????????????O?C??????????A?????????????O?G??????????B?????????????E?????????????E?????????????A??????????????_?G???????????K??????????????G??????????????O?G????????????O??????????????G??????????????A???????????????W???????????????_??????????????@???????????????@????????????????_?_?????????????G???????????????@????????????????E?C??????????????E????????????????E????????????????B?????????????????_????????????????E?G???????????????W?????????????????o?????????????????W?????????????????G?????????????????A_G????????????????CA?????????????????O??????????????????_G?????????????????OG?????????????????GC?????????????????A@??????????????????EG,||eMID@WH_a@E@A?`_GG@@oC@?GB?G@?C?o@?E?G?W?_?_@?@o@??O?_?K?G?@_@??C?C??[?G??G?G??K?C??B?@???W?G??@_?_??B?@???B?@???@o?_???G?G???B?@????K?C????W?G????O?G????[?C????A?@?????w?G????@_?_????B?@?????B?@?????@_?_?????[?G?????@_@??????E?C??????M?G??????C?G??????F?C???????{@???????@_w???????EC_???????M@????????Fb,4,5
118,~?@usP@@?OC?O`?@?@_?O?A@?W??_??_G?O??C@?@_??C???G???G???C???@????G????_???@?G??@?????_????G????B?????K?????O?????O@????W?????E??????_?????A?C????C??????C?G????E??????@_??????G???????_?_????@???????@????????_???????G?G?????@????????C????????G????????G?G??????C????????@?????????G?????????_????????@_????????@_?????????_?????????G?G???????@_?????????E??????????G??????????G?G????????C??????????@?@?????????W??????????@_??????????B???????????A???????????@??_?????????O?G?????????A????????????G????????????O?G??????????O????????????G????????????B?????????????G?????????????_????????????@?????????????@??????????????_?_???????????E??????????????_?????????????A?C????????????E??????????????E??????????????A???????????????_@?????????????C?G?????????????o??????????????@_??????????????@_???????????????W???????????????A????????????????O???????????????@?C??????????????A????????????????A?G???????????????_????????????????G????????????????@?G???????????????C?????????????????K@????????????????G?????????????????C?_???????????????@_?????????????????E??????????????????W??????????????????W??????????????????CG?????????????????B???????????????????P??????????????????Ag,||eMID@WH?e@E@A?`_GK@?oC@?GB?G@?C?w@?A?G?W?_?o@??o@??O?_?K?G?@_@??E?C??K?G??K?G??E?C??@?@???[?G???o?_??@_@???@_@????o?_???K?G???@_@????E?C????K?G????K?G????F?C?????_@?????M?G?????W?_?????o@??????o@??????W?_?????E?G??????o@??????B?C??????F_G??????@?W??????@oC???????K@???????@oG???????B?_???????FP?????????~,4,5
118,~?@usP@@?OC?O`?@?@_?O?A??W??_??_??O??C??@_??C???G???G@??K???A????O???@????E????C????A?C??@_????G?????_?_??@?????B??????_?????G?????@??????K??????W??????O??????G?C????A???????O??????@???????A???????B???????@????????O?G?????A?@??????W????????o????????_????????O????????C?@???????_????????B?????????C?????????C?@???????E?????????@_?????????G??????????_?C???????@???????????_??????????O?C????????C???????????_??????????E???????????E???????????C???????????A??_?????????_???????????C????????????O????????????_????????????_????????????W????????????E?????????????W????????????@_????????????A?????????????A?????????????@??_???????????O?G???????????B??????????????K??????????????W??????????????W??????????????K??????????????A???????????????O?G????????????@??_????????????A?@?????????????A???????????????@????????????????o???????????????@????????????????C?C??????????????G????????????????G????????????????C????????????????@?@???????????????G?????????????????K?_???????????????W?????????????????O?????????????????K?????????????????@_?????????????????K??????????????????o??????????????????o??????????????????GG?????????????????C_?????????????????B_??????????????????Ao,||eMID@WH?e@C@E?`?GW@@?CE?GE?GA?C@_@?K?G?o?_@?@?B?@?@_?_?W?G?B?@??G?C??o?G??o?G??O?C??M?@???o?G??B??_??E?@???E?@???B??_???_?G???M?@????W?C????o?G????o?G????W?C????E?@?????o?G????A??_????M?@?????E?@?????B_?_?????W?G?????B?@??????G?C??????{?G??????K?W??????E?S??????@_@???????M?G???????P__??????@{@????????E],4,5
118,~?@usP@@?OC?O`?@?@_?O?A??W??_??_??O??C??@_??C???G???G@??K???A????O???@????E????C????A?C??@_????G?????_?_??@?????B??????_?????G?????@??????K??????W??????O??????G?C????A???????O??????@???????A???????B???????@????????O???????A?@??????W????????o????????_????????O????????C?@???????_????????B?????????E?????????E?????????B??????????_?????????C?@????????O?C???????@_??????????_??????????O?C????????C???????????_??????????E???????????E???????????C???????????A??_?????????_???????????C????????????O????????????_????????????O????????????G????????????A?@???????????W????????????@_????????????A?????????????A?????????????@??_???????????O?G???????????B??????????????K??????????????W??????????????W??????????????K??????????????B???????????????G???????????????_?_????????????@???????????????@???????????????@_???????????????C????????????????_@??????????????A????????????????C????????????????C????????????????A?C???????????????o????????????????B?????????????????K?????????????????O?????????????????W@????????????????E?????????????????@_?????????????????K??????????????????W??????????????????OG?????????????????O??????????????????I???????????????????b??????????????????D_,||eMID@WH?e@C@E?`?GW@@?CE?GE?GA?C@_@?K?G?o?_@?@?B?@?@_?_?W?G?B?@??K?C??W?G??O?G??[?C??B?@???O?G??B??_??E?@???E?@???B??_???_?G???M?@????W?C????o?G????o?G????W?C????E?@?????_?G????F_?_????A?B?????E?@?????B_?_?????W?G?????B?@??????G?C??????{?G??????K?W??????E?C??????@_@???????L?G???????N?_???????EF????????Ex,4,5
118,~?@usP@@?OC?O`?@?@_?O?A??W??_??_??O??C??@_??C???G???G@??K???A????O???@????E????C????A?C??@_????G?????_?_??@?????B??????_?????G?????@??????K??????W??????O??????G??????A???????O??????@???????A???????B???????@????????O?G?????A?@??????W????????o????????_????????O????????C?@???????_????????E?????????K?????????K?????????E?????????@_?????????G??????????_?C???????@???????????_??????????O?C????????C???????????_??????????E???????????E???????????C???????????A????????????_?G?????????C????????????O????????????_????????????_????????????W????????????E?????????????W????????????@_????????????A?????????????A?????????????@??_???????????O?G???????????E??????????????K??????????????W??????????????W??????????????K??????????????A???????????????O?G????????????@??_????????????A?@?????????????A???????????????@????????????????o???????????????@????????????????C????????????????G?G??????????????G????????????????C????????????????@?@???????????????G?????????????????K?_???????????????W?????????????????O?????????????????K?_???????????????B??????????????????K??????????????????o??????????????????o??????????????????GG?????????????????C???????????????????p??????????????????Ao,||eMID@WH?e@C@E?`?GW@@?CE?GE?GA?C@_@?K?G?o?_@?@?B?@?@_?_?O?G?E?@??W?C??o?G??o?G??O?C??M?@???o?G??B??_??E?@???E?@???B??_???_?G???M?@????W?C????_?G???@o?G????W?C????E?@?????o?G????A??_????M?@?????E?@?????B_?_?????W?G?????B?@??????G?C??????{?G??????G?W??????M?C??????@_B???????M?G???????P__??????@{@????????Em,4,5
118,~?@usP@@?OC?O`?@?@_?O?A??W??_??_??O??C??@_??C???G???G@??K???A????O???@????E????C????A?C??@_????G?????_?_??@?????B??????_?????G?????@??????K??????W??????O??????G?C????A???????O??????@???????A???????B???????@????????O?G?????A?@??????W????????o????????_????????O????????C?@???????_????????B?????????E?????????E?????????B??????????_?????????C?@????????O??????????O??????????O?G????????G??????????A???????????o??????????@_??????????A???????????A?@?????????@????????????O???????????A????????????G????????????W????????????W????????????E????????????@_????????????G?????????????_????????????@?@???????????@?@????????????o?????????????K?????????????@_?????????????E??????????????G??????????????G?G????????????C??????????????@?@?????????????G???????????????_??????????????B????????????????_???????????????O?_?????????????C????????????????_???????????????A?C??????????????C????????????????E????????????????@_????????????????W????????????????A?????????????????K?????????????????K?????????????????K?????????????????B??????????????????_?????????????????E@?????????????????GG?????????????????OG?????????????????o??????????????????GC?????????????????A@??????????????????PG,||eMID@WH?e@C@E?`?GW@@?CE?GE?GA?C@_@?K?G?o?_@?@?B?@?@_?_?W?G?B?@??K?C??W?G??O?G??[?C??B?@???W?G??@_?_??B?@???B?@???@??_???w?G???B?@????K?C????W?G????W?G????K?C????A?@?????w?G????@_?_????B_@?????@_@??????o?_?????G?G?????Bo@??????B?K??????E?G??????F?G??????@?C???????w@???????B_G???????EB_???????KH????????Jp,4,5
118,~?@usP@@?OC?O`?@?@_?O?A@?W??_??_G?O??C??@_??C???G???G???C???@????G????_???@?G??B????@?????O@???A?????W?????o?????_?????O?_???K?????@_?????C??????G?G????G??????C??????@???????K???????_??????@?@?????@????????_???????G???????@????????C????????G?G??????G????????C?C??????B?????????W????????@?????????A?@???????A?????????@_?????????W?????????A??????????G?C????????o??????????o??????????G??????????A?@?????????O??????????@???????????A???????????A???????????@_???????????O???????????A?@??????????G?C??????????O????????????O????????????G????????????A?@???????????O?G??????????@?????????????A?@???????????E?????????????B??????????????o?????????????C??????????????O?C????????????_?G????????????W??????????????G??????????????A?@?????????????o???????????????_??????????????@?@?????????????@????????????????_???????????????G???????????????@?@??????????????C????????????????E????????????????A????????????????@?????????????????W????????????????@_????????????????E?????????????????K?????????????????E?????????????????B_?????????????????O?????????????????A@?????????????????W??????????????????OG?????????????????O??????????????????GC?????????????????A`??????????????????D_,||eMID@WH?e@E@A?`_GG@@_CB?GA?GB?C?_@?M?G?O?_@_@?@_@??o?_?G?G?B?@??K?C??O?G??w?G??K?C??B?@???W?G??@??_??F?@???A?@???B??_???w?G???B?@????G?C????o?G????o?G????W?C????C?@????@o?G????B??_????F?@?????A?@?????B_?_?????O?G?????F_@??????E?K??????K?G??????K?G??????F?C???????a@???????N_G???????F@????????D`????????@z,4,5
118,~?@usP@@?OC?O`?@?@_?O?A??W??_??_??O??C??@_??C???G???G@??K???A????O???@?C??E????E????B?????_????C?????O?_??@_?????_?????O?????C?????@_?????A??????C??????C??????A???????_??????K???????O???????_???????_@??????o???????K???????@????????C?C??????G?G??????W????????K????????B?????????W????????@?????????A?????????A?@???????B??????????O?????????A??????????G??????????O??????????G??????????C??????????@???????????G???????????_??????????@???????????B????????????_???????????G?G?????????@?@??????????K????????????W????????????W????????????K????????????B?????????????W????????????@_????????????B?????????????B?????????????@??????????????O?????????????A?@????????????C??????????????G?G????????????G??????????????C??????????????@???????????????G???????????????_?_????????????@???????????????@????????????????_?_?????????????G???????????????B????????????????E????????????????E????????????????E????????????????B?????????????????o????????????????B?????????????????K?????????????????K?????????????????G?????????????????E??????????????????_W????????????????CC?????????????????O??????????????????_G?????????????????_G?????????????????OC?????????????????C@??????????????????EG,||eMID@WH?e@C@E?`_GG@@_CB?GA?GB?C?o@?E?G?O?_@o@??_@??o?_?K?G?@_@??C?C??W?G??[?G??C?C??B?@???W?G??@_?_??B?@???B_@????_?_???W?G???B?@????K?C????W?G????O?G????W?C????F?@?????W?G????@_?_????B?@?????B?@?????@o?_?????G?G?????B_@??????E?C??????M?G??????C?G??????E?C??????@o@???????F?W???????KE_???????[P????????N`,4,5
118,~?@usP@@?OC?O`?@?@_?O?A??W??_??_??O??C??@_??C???G???G???K???A????O???@?C??E????E????B?????_????C?G???O????@_????@_?????_?????G?????@??????K??????G??????G??????C??????@???????G???????o??????@???????@?@??????_???????G???????B????????K????????O????????O?G??????G?C??????E?????????o????????B?????????E?????????C?????????A??_???????_?????????E??????????W??????????_??????????_??????????O?C????????C???????????O??????????@???????????A???????????A???????????@????????????O???????????B????????????G????????????O?G??????????O?G??????????G????????????E?????????????W????????????@_????????????B?????????????B?????????????@_?????????????W?????????????B??????????????G??????????????O?G????????????O?G????????????E??????????????@???????????????G???????????????_?_????????????@???????????????@????????????????_?_?????????????G???????????????@????????????????C?C??????????????G????????????????E????????????????@?????????????????o????????????????B?????????????????K?????????????????K?????????????????K?????????????????B??????????????????w?????????????????A??????????????????K??????????????????G??????????????????GG?????????????????CC?????????????????@P??????????????????F?,||eMID@WH?e@C@E?`_GG@@_CB?GA?GB?C?_@?K?G?o?_@?@?B_@??_?_?W?G?B?@??K?C??O?G??w?G??K?C??B?@???W?G??@??_??E?@???E?@???B??_???w?G???A?@????W?C????o?G????o?G????W?C????C?@????@o?G????B??_????F?@?????A?@?????B??_?????w?G?????B_@??????C?C??????[?G??????K?G??????F?C???????a@???????N_G???????EP????????N@????????By,4,5
118,~?@usP@@?OC?O`?@?@_?O?A??W??_??_??O??C??@_??C???G???G@??K???A????O???@?C??E????C????A?C??@_????G?????_?_??@?????B??????_?????G?????@??????K??????G??????G??????C??????@???????G?G?????_??????@_??????@????????_???????G?G?????B????????K????????O????????O????????G?C??????E?????????o????????A?????????C?@???????E?????????A??????????_?G???????C?@????????o??????????_??????????_?G????????O??????????C??????????@_??????????A???????????C???????????C???????????A????????????_???????????C?@??????????O????????????O????????????O????????????G?C??????????B?????????????W????????????@?????????????B?????????????B?????????????@_?????????????W?????????????A??????????????G?C????????????W??????????????W??????????????K??????????????@???????????????G?G?????????????_??????????????@???????????????B????????????????_???????????????G?G?????????????@????????????????C????????????????K????????????????C????????????????B?????????????????W????????????????B?????????????????G?????????????????W@????????????????K?????????????????E?????????????????@??????????????????K@?????????????????o??????????????????_G?????????????????_??????????????????S??????????????????@B??????????????????H_,||eMID@WH?e@C@E?`?GW@@?CE?GE?GA?C@_@?K?G?o?_@?@?B_@??_?_?W?G?B?@??G?C??w?G??O?G??[?C??B?@???O?G??B??_??E?@???E?@???B??_???_?G???M?@????O?K???@_?G???@_?G????o?C????G?@????B_?G????C?@_????]?@?????C?B?????E??_????@o?G?????E?@??????W?C??????g?G??????[?G??????E?C??????@_@???????I_G???????F__???????BF????????Bx,4,5
