n_c,fullerene_g6,dual_g6,depth_fullerene,depth_dual
102,~?@esP@@?OC?O`?@?@_?O?A??W??_??_??O??C??@_??C???G???G@??K???A????O@??@????E????E????B?????_????C?????O????@_?????_?????O?????C??????o?????A??????C??????C??????A???????_??????K???????o??????@???????@?@??????_?_?????W???????B????????G????????O?G??????O?G??????W????????E?????????o????????B?????????C?????????C?????????A??_???????_?????????A??????????G??????????O??????????O??????????C??????????@???????????G?G?????????_??????????@???????????@?@?????????@_???????????K???????????@_???????????E????????????K????????????K????????????E????????????@_????????????E?????????????W?????????????O?????????????O?????????????G?_???????????A?G????????????O?????????????@?C????????????A??????????????A?G????????????@???????????????O@?????????????A?G?????????????G?_?????????????o???????????????K???????????????B????????????????W????????????????P???????????????@_???????????????@W,t|eMID@WH?e@C@E?`_GG@@_CB?GA?GB?C?o@?E?G?W?_?o@??_@??o?_?K?G?@_@??C?C??W?G??W?G??K?C??B?@???W?G??@_?_??B?@???B_@????_?_???[?G???@_@????E?C????K?G????M?G????B?C?????o@?????E?G?????W?_?????w@??????OB??????]?_?????@_W??????N@???????Mk,2,2
102,~?@esP@@?OC?O`?@?@_?O?A??W??_??_??O??C@?@_??C???G???G@??K???A????O@??@????E????C????A?C???_????C?????O?_??@_?????_?????O?????C??????o?????A??????C??????C??????A???????_@?????K???????O???????_???????_@??????o???????K???????@????????C?C??????G?G??????W????????K????????A?????????O?G??????@?????????A?????????A?@???????B??????????O?????????A?@????????G??????????O??????????G??????????C??????????@?@?????????G???????????_??????????@?@?????????B????????????_???????????G???????????@?@??????????E????????????K????????????K????????????E?????????????o????????????C?????????????O?_???????????_?????????????o?????????????W?????????????A??????????????O@????????????@??????????????A??????????????A?G????????????@?C?????????????O@?????????????B???????????????K???????????????K???????????????E???????????????B????????????????CG???????????????`???????????????B????????????????AW,t|eMID@WH?e@C@E?`?GW@@_CB?GA?GB?C?o@?E?G?W?_?o@??_@??o?_?K?G?@?@??K?C??W?G??[?G??C?C??B?@???W?G??@_?_??B?@???B_@????_?_???[?G???@_@????C?C????W?G????W?G????M?C????@?B?????W?G????@o?_????@_@?????@o@??????]?_?????@?w??????\@???????NK,0,0
102,~?@esP@@?OC?O`?@@@_?O?A??W??_??_G?O??C???_??A???C???K???C???@?G??G????_???@?G??B????@?????O@???E?????W?????_?????_?????O?????E??????_?????A?C????C??????C?G????A???????_??????C???????O???????_??????@_???????o???????G???????@?@??????C?C??????G????????G?G??????E????????@?????????G?G??????@_????????B?????????B?????????@??????????O?G???????A??????????G??????????G??????????G?G????????C??????????@?@?????????G?G?????????_??????????@???????????@????????????_?_?????????G???????????@_???????????E????????????K????????????C????????????A?C???????????O????????????A?G???????????W?????????????o?????????????W?????????????G?????????????A?G????????????O?????????????@_?????????????@_??????????????_??????????????O??????????????C@??????????????_G?????????????A?_?????????????E???????????????E???????????????@?_??????????????OG??????????????E????????????????AC???????????????Cg,t|eMID@WH?e@E@A?`_GG@@oC@?GB?G@?C?o@?E?G?W?_?o@??o@??O?_?M?G??_@??F?C??C?G??K?G??E?C??@?@???W?G??@_?_??B?@???B_@????o?_???G?G???B_@????F?C????C?G????K?G????F?C?????_@?????M?G?????W?_?????{@??????GB??????N?_??????_W??????N@???????Mk,2,2
102,~?@esP@@?OC?O`?@?@_?O?A??W??_??_G?O??C??@_??C???G@??G???K???A????O???@????A????A?G??B?????_????C?????O?????o?????_?????O?????C?G???@_?????E??????G??????G?G????C??????@???????G?G????@_??????B???????A???????@??_?????O?G?????E????????G????????O????????O????????G?C??????B?????????W?????????_????????@?????????@??????????_?????????C??????????_?????????A?C????????K??????????K??????????A???????????_@?????????C???????????O?_????????@_??????????@_???????????o???????????K???????????@_???????????A????????????C????????????C????????????A?C???????????o????????????A?????????????G?????????????O?????????????O@????????????G?????????????B??????????????W?????????????@_?????????????@_??????????????_G?????????????o??????????????K???????????????o??????????????B???????????????A???????????????A_???????????????O???????????????CG???????????????`???????????????BC???????????????F?,t|eMID@WH?e@E@A?`_GG@@_CB?GB?G@?C?o@?E?G?O?_@_@?@_@??o?_?K?G?@_@??E?C??K?G??K?G??E?C??@_@???M?G???O?_??@_@???@o@????W?_???E?G????o@????B?C????E?G????E?G????B?C?????w@?????A?W?????W?_?????{@??????KB??????E?_?????@oG??????E`???????E{,2,2
102,~?@esP@@?OC?O`?@?@_?O?A??W??_??_G?O??C??@_??C???G@??G???K???A????O@??@????A????A?G??B?????_????C?????O?????o?????_?????O?????C??????o?????A??????C?G????C??????A???????_@?????K???????o??????@???????@?@??????_???????W???????B????????G????????O?G??????O????????K????????B?????????G?????????_????????@?????????@??????????o?????????G?????????@??????????C?C????????G??????????K??????????C??????????@?@?????????G???????????_?_????????B???????????B???????????@_???????????W???????????@????????????K????????????K????????????K????????????A?????????????o????????????A?????????????G?????????????O?????????????O@????????????K?????????????A??????????????O?????????????@?C????????????B??????????????B???????????????_C?????????????W??????????????B???????????????E???????????????C@??????????????K???????????????B????????????????GG??????????????@????????????????DC???????????????Ao,t|eMID@WH?e@E@A?`_GG@@_CB?GB?G@?C?o@?E?G?W?_?o@??o@??W?_?E?G??o@??B?C??E?G??E?G??A?C??@_@???K?G???o?_??@_@???@_@????o?_???K?G???@_@????E?C????K?G????M?G????A?C????@_@?????M?G?????[?_?????[@??????K@??????E?_?????@wG??????BF???????Nc,2,2
102,~?@esP@@?OC?O`?@?@_?O?A??W??_??_G?O??C??@_??C???G@??G???K???A????O@??@????A????A?G??B?????_????C?????O?????o?????_?????O?????C??????o?????A??????C?G????C??????A???????_@?????K???????o??????@???????@?@??????_???????W???????B????????G????????O?G??????O?G??????K????????B?????????G?????????_????????@?????????@??????????o?????????G?????????@??????????C??????????G??????????C??????????A?C?????????_??????????C?G?????????o??????????@_??????????@_???????????o???????????C???????????@_???????????E????????????K????????????K????????????B?????????????O????????????A?????????????G?????????????O@????????????W?????????????G?????????????A??????????????O@????????????@??????????????A?G????????????A?G????????????@?C?????????????o??????????????E???????????????K???????????????G@??????????????W???????????????E????????????????GG??????????????@????????????????DC???????????????Ao,t|eMID@WH?e@E@A?`_GG@@_CB?GB?G@?C?o@?E?G?W?_?o@??o@??W?_?E?G??o@??B?C??E?G??E?G??A?C??@_@???K?G???o?_??@o@????o@????W?_???E?G????o@????B?C????F?G????A?G????B?C?????o@?????E?G?????[?_?????WB??????W@??????K?_?????BoG??????EF???????\c,0,0
102,~?@esP@@?OC?O`?@?@_?O?A??W??_??_??O??C??@_??C???G@??G???K???A????O???@?C??E????C????A?C??@_????G?????_????@?????@_?????_?????G?????@??????K??????G??????G??????C?C????@???????G?G?????_??????B???????B???????@????????O?G?????A?@??????W????????o????????_????????O?C??????C?@??????@_????????A?????????C?@???????E?????????A??????????_?????????C??????????O?C????????O??????????O??????????G??????????A???????????G???????????_??????????@?@?????????@????????????_?_?????????G?G?????????B????????????K????????????K????????????K????????????E????????????@_????????????K?????????????o?????????????o?????????????G?????????????C?????????????@??????????????G@?????????????_C????????????@??????????????@???????????????_C?????????????G??????????????@_G?????????????E???????????????K???????????????B???????????????@_???????????????K????????????????P???????????????@_???????????????@W,t|eMID@WH?e@C@E?`?GW@@?CE?GE?GB?C?_@?K?G?o?_@?@?B_@??_?_?[?G?@?@??M?C??G?G??W?G??K?C??B?@???W?G??@_?_??B?@???B?@???@o?_???G?G???B_@????F?C????E?G????E?G????B_C?????W@?????B?G?????K?_?????[@??????GB??????N?_??????oW??????F`???????Ek,0,0
102,~?@esP@@?OC?O`?@?@_?O?A??W??_??_??O??C@?@_??C???G@??G???K???A????O???@?C??E????C????A?C???_????C?????O?????o?????_?????O?????C?????@_?????A??????C??????C?G????A???????_@?????K???????o??????@???????@?@??????_?_?????W???????B????????G????????O?G??????O?G??????W????????A?????????O?G??????@?????????A?????????A?????????@??_???????G?????????@??????????C??????????G??????????C??????????A???????????_@?????????C???????????O?_????????@_??????????@_???????????W???????????E????????????o???????????B????????????E????????????E????????????@?????????????O@???????????A?????????????G?????????????O?????????????O@????????????G?_???????????A??????????????O?????????????@??????????????B??????????????@_??????????????o??????????????K???????????????W??????????????@_??????????????B???????????????B????????????????__??????????????G???????????????@_???????????????AK???????????????D_,t|eMID@WH?e@C@E?`?GW@@_CB?GB?G@?C?o@?E?G?O?_@o@??_@??w?_?C?G?@_@??E?C??K?G??K?G??E?C??@_@???K?G???o?_??@o@????_@????w?_???C?W???@_@????E?C????K?G????M?G????B?C?????o@?????E?G?????[?_?????S@??????M@??????B?_??????{G??????@b???????Fs,2,2
102,~?@esP@@?OC?O`?@@@_?O?A??W??_??_??O??C???_??A???C???K???C???@????G@??@_???B????B????@?????O@???E?????W?????_?????_?????O?????K??????_?????A??????C??????C??????A???????_??????C???????O?_?????_??????@_???????o???????G???????@?@??????C?C??????W????????W????????K????????B?????????W????????@_????????@_????????@??????????_?????????G?????????@??????????A??????????C?G????????C??????????A???????????_??????????C???????????O???????????_@??????????_???????????o???????????K???????????@_???????????E????????????E????????????E????????????B?????????????o????????????E?????????????K?????????????O?????????????O@????????????G?????????????A??????????????O@????????????@?C????????????A??????????????A??????????????@?C?????????????W??????????????@???????????????E???????????????K???????????????B???????????????@_???????????????M????????????????a???????????????AC???????????????EG,t|eMID@WH?e@C@E?`_GG@@oC@?GB?G@?C?o@?E?G?O?_@o@??_@??o?_?K?G?@_@??C?C??[?G??G?W??M?C??@?@???W?G??@_?_??B?@???B_@????o?_???K?G???@_@????E?C????I?G????F?G????@?K?????o@?????E?G?????W?_?????w@??????WB??????K?_?????BgG??????Bb???????Es,2,2
102,~?@esP@@?OC?O`?@@@_?O?A??W??_??_??O??C???_??A???C???K???C???@????G@??@_???B????B????@?????O@???E?????W?????_?????_?????O?????K??????_?????A??????C??????C??????A?C?????_??????C???????O???????_@?????@_???????o???????G???????@?@??????C?C??????W????????W????????K????????@?????????G?G??????@_????????B?????????@??????????_?????????G?????????@??????????A??????????C??????????C??????????A???????????_@?????????C???????????O???????????_@??????????_@??????????o???????????K???????????@_???????????E????????????K????????????K????????????E?????????????_????????????C?G???????????o?????????????O?????????????O@????????????G?????????????A??????????????O@????????????@??????????????A?G????????????B???????????????_??????????????K???????????????o??????????????B???????????????B???????????????@_???????????????O_??????????????K????????????????`???????????????AC???????????????DG,t|eMID@WH?e@C@E?`_GG@@oC@?GB?G@?C?o@?E?G?O?_@o@??_@??o?_?K?G?@_@??F?C??C?G??K?G??E?C??@_@???K?G???o?_??@o@????_@????o?_???K?G???@_@????F?C????C?G????M?G????B?C?????o@?????E?G?????[?_?????OB??????w@??????N?_??????_w??????N@???????LK,2,2
